DrugName	DrugBank	SMILES
doxepin	DB01142	CN(C)CC/C=C/1\C2=CC=CC=C2COC3=CC=CC=C31
amiloride	DB00594	C1(=C(N=C(C(=N1)Cl)N)N)C(=O)N=C(N)N
selegiline	DB01037	C[C@H](CC1=CC=CC=C1)N(C)CC#C
carbidopa	DB00190	C[C@](CC1=CC(=C(C=C1)O)O)(C(=O)O)NN
dapsone	DB00250	C1=CC(=CC=C1N)S(=O)(=O)C2=CC=C(C=C2)N
levobunolol	DB01210	CC(C)(C)NC[C@@H](COC1=CC=CC2=C1CCCC2=O)O
phenobarbital	DB01174	CCC1(C(=O)NC(=O)NC1=O)C2=CC=CC=C2
montelukast	DB00471	CC(C)(C1=CC=CC=C1CC[C@H](C2=CC=CC(=C2)/C=C/C3=NC4=C(C=CC(=C4)Cl)C=C3)SCC5(CC5)CC(=O)O)O
valproic acid	DB00313	CCCC(CCC)C(=O)O
tenoxicam	DB00469	CN1C(=C(C2=C(S1(=O)=O)C=CS2)O)C(=O)NC3=CC=CC=N3
lymecycline	DB00256	C[C@@]1([C@H]2C[C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)NCNCCCC[C@@H](C(=O)O)N)N(C)C)O
donepezil	DB00843	COC1=C(C=C2C(=C1)CC(C2=O)CC3CCN(CC3)CC4=CC=CC=C4)OC
almotriptan	DB00918	CN(C)CCC1=CNC2=C1C=C(C=C2)CS(=O)(=O)N3CCCC3
methyldopa	DB00422	C[C@](CC1=CC(=C(C=C1)O)O)(C(=O)O)N
nevirapine	DB00238	CC1=C2C(=NC=C1)N(C3=C(C=CC=N3)C(=O)N2)C4CC4
atorvastatin	DB01076	CC(C)C1=C(C(=C(N1CC[C@H](C[C@H](CC(=O)O)O)O)C2=CC=C(C=C2)F)C3=CC=CC=C3)C(=O)NC4=CC=CC=C4
oxprenolol	DB01580	CC(C)NCC(COC1=CC=CC=C1OCC=C)O
sulindac	DB00605	CC\1=C(C2=C(/C1=C\C3=CC=C(C=C3)S(=O)C)C=CC(=C2)F)CC(=O)O
rosuvastatin	DB01098	CC(C)C1=NC(=NC(=C1/C=C/[C@H](C[C@H](CC(=O)O)O)O)C2=CC=C(C=C2)F)N(C)S(=O)(=O)C
clindamycin	DB01190	CCC[C@@H]1C[C@H](N(C1)C)C(=O)N[C@@H]([C@@H]2[C@@H]([C@@H]([C@H]([C@H](O2)SC)O)O)O)[C@H](C)Cl
famciclovir	DB00426	CC(=O)OCC(CCN1C=NC2=CN=C(N=C21)N)COC(=O)C
etodolac	DB00749	CCC1=C2C(=CC=C1)C3=C(N2)C(OCC3)(CC)CC(=O)O
pamidronate	DB00282	C(CN)C(O)(P(=O)(O)O)P(=O)(O)O
terfenadine	DB00342	CC(C)(C)C1=CC=C(C=C1)C(CCCN2CCC(CC2)C(C3=CC=CC=C3)(C4=CC=CC=C4)O)O
crotamiton	DB00265	CCN(C1=CC=CC=C1C)C(=O)/C=C/C
solifenacin	DB01591	C1CN2CCC1[C@H](C2)OC(=O)N3CCC4=CC=CC=C4[C@@H]3C5=CC=CC=C5
nefopam hydrochloride	DB12293	CN1CCOC(C2=CC=CC=C2C1)C3=CC=CC=C3.Cl
ketorolac	DB00465	C1CN2C(=CC=C2C(=O)C3=CC=CC=C3)C1C(=O)O
hexamethylenetetramine	DB06799	C1N2CN3CN1CN(C2)C3
bisoprolol	DB00612	CC(C)NCC(COC1=CC=C(C=C1)COCCOC(C)C)O
clobetasol	DB11750	C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)CCl)O)C)O)F)C
clozapine	DB00363	CN1CCN(CC1)C2=NC3=C(C=CC(=C3)Cl)NC4=CC=CC=C42
desloratadine	DB00967	C1CC2=C(C=CC(=C2)Cl)C(=C3CCNCC3)C4=C1C=CC=N4
danazol	DB01406	C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=CC5=C(C[C@]34C)C=NO5
chlorthalidone	DB00310	C1=CC=C2C(=C1)C(=O)NC2(C3=CC(=C(C=C3)Cl)S(=O)(=O)N)O
hydrochlorothiazide	DB00999	C1NC2=CC(=C(C=C2S(=O)(=O)N1)S(=O)(=O)N)Cl
domperidone	DB01184	C1CN(CCC1N2C3=C(C=C(C=C3)Cl)NC2=O)CCCN4C5=CC=CC=C5NC4=O
